"ID","Incident Date","City","State","School name","Latitude","Longitude","School Type","Intent","Outcome","Number Killed","Number Wounded","Narrative","Source 1","URL 1","Source 2","URL 2","Source 3","URL 3","Created","Last Modified"
"342","2018-03-02","Mount Pleasant","MI","Central Michigan University","43.591203","-84.77525","","Attack on others","Death","2","0","A man, 19, shot and killed his mother and father in a residence hall, causing more than 100 police officers to respond and placing the university on lockdown. After an extensive search, the shooter was taken into custody and charged with two counts of murder and one count of possession of a weapon to commit murder. A gun recovered at the scene was registered to the shooter's father, who worked in law enforcement.","The New York Times","http://nyti.ms/2FWfzmT","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"343","2018-03-03","San Marcos","TX","Texas State University","29.888885","-97.943029","","Attack on others","No one shot","0","0","After getting into a disagreement with another person, a man, 19, fired a gun towards a university residence hall, hitting a window. Police took him into custody within minutes and later announced that they were charging him with aggravated assault with a deadly weapon, deadly conduct, theft of a firearm, and unlawful carry of a weapon in prohibited places.","The University Star","http://bit.ly/2FXYLfa","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"344","2018-03-05","Cadet","MO","Kingston High School","38.068041","-90.745143","","Self-harm - no intent to hurt others","Death","1","0","A teen, 17, had breakfast with his friends in the school cafeteria and then went into a bathroom and shot himself with a .22-caliber handgun. Police announced that they are investigating the incident. ","KSDK","http://on.ksdk.com/2tgnWXG","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"345","2018-03-07","Birmingham","AL","Huffman High School","33.611201","-86.683271","","Unintentional Discharge","Death","1","1","A teen, 17, unintentionally discharged a firearm inside Huffman High School, fatally hitting a student, 17, and injuring himself. After reviewing video footage of the incident, police charged the shooter with manslaughter and illegally possessing a pistol for bringing a gun on school grounds and “recklessly causing the death” of the victim. ","CBS","http://bit.ly/2FBAb77","CNN","https://www.cnn.com/2018/03/09/us/birmingham-school-shooting-teen-charged/index.html","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"346","2018-03-09","Lexington","KY","Frederick Douglass High School","38.040057","-84.435792","","Unintentional Discharge","Injury","0","1","A 16 year-old male student unintentionally shot himself with a gun he had smuggled into a classroom, sustaining an injury to his left thumb. Police announced they were charging him with wanton endangerment and possession of a weapon on school property. After the shooting, the school superintendent announced that stationary metal detectors would be installed and all students would be required to enter through them.","Lexington Herald Leader","http://bit.ly/2p8RcKT","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"347","2018-03-13","Seaside","CA","Seaside High School","36.6227","-121.8371","","Unintentional Discharge","Injury","0","1","While teaching public safety in an Administration of Justice class, a teacher and reserve police officer unintentionally discharged his gun into the ceiling. Three students were injured by bullet fragments or debris, none seriously. The teacher was placed on administrative leave and the Seaside PD opened an investigation.","CBS","http://cbsn.ws/2GtrdGm","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"348","2018-03-13","Alexandria","VA","George Washington Middle School","38.815774","-77.055387","","Unintentional Discharge","No one shot","0","0","A school resource officer unintentionally fired his weapon inside his office at George Washington Middle School. He checked the area for any injuries—there were none—and notified his superiors. Classes continued as normal.","NBC Washington","http://bit.ly/2Gmvfjz","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"349","2018-03-16","Missoula","MT","Big Sky High School","46.850462","-114.057906","","Legal Intervention","No one shot","0","0","A juvenile probation officer and the student resource officer were investigating a student after being given a photograph of him holding a gun. While the student involved was being questioned, he ran into the parking lot, pursued by the SRO. The student then attempted to hit the SRO with his car; the SRO responded by shooting at the car. The student was later apprehending after crashing his vehicle. A handgun believed to be thrown from the student's car was also recovered.","Missoulan","https://bit.ly/2Hmvdfs","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"350","2018-03-20","Great Mills","MD","Great Mills High School","38.247434","-76.487496","","Attack on others","Death","1","1","A teen, 17, opened fire with a handgun in an academic building at Great Mills High School, critically injuring a 16-year-old girl and hitting a 14-year-old boy before being confronted by the school's resource officer. The officer engaged the shooter in gunfire, hitting him in the hand at the same moment the shooter fatally shot himself in the head. The school went into immediate lockdown. The injured girl was later pronounced brain dead and taken off life support. ","The Baltimore Sun","https://bsun.md/2GcrXmk","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"351","2018-03-28","Eupora","MS","Eupora High School","33.543141","-89.274143","","Unknown","No one shot","0","0","A man, 20, fired shots at Eupora High School after riding a dirt-bike through the courtyard. The man, who was former student at the school, was arrested and charged for possessing an unregistered weapon, discharging and possessing a firearm in a school zone, and possessing a firearm as a current drug user.  ","Clarion Ledger","https://www.clarionledger.com/story/news/local/2018/05/31/school-shooting-suspect-detained-trial-authorities-advise-educators/628988002/","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
